セイバー（Saber）,Fate/stay night,TYPE-MOON,,154,73,53,76,42,
遠坂 凛,Fate/stay night,TYPE-MOON,,159,77,57,80,47,
間桐 桜,Fate/stay night,TYPE-MOON,,156,85,56,87,46,
イリヤスフィール・フォン・アインツベルン（イリヤ）,Fate/stay night,TYPE-MOON,,133,61,47,62,34,
片瀬 恵,かみぱに！,Clochette,,162,85,58,86,,
霧島 乃々香,かみぱに！,Clochette,,165,95,60,96,,
香原 瑞希,かみぱに！,Clochette,,154,80,55,82,,
九条 天音,かみぱに！,Clochette,,163,88,58,87,,
野々村 仁乃,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,156,83,58,87,,
鷹取 柚子里,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,165,82,54,83,,
三峰 美奈都,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,163,92,60,93,,
代官山 すみれ,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,152,78,56,84,,
志麻 莉里,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,158,82,55,82,,
九条 要,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,167,92,58,89,,
島村 静穂,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,166,82,56,86,,
代官山 桃子,スズノネセブン！ -Sweet Lovers’ Concerto-,Clochette,,163,80,56,88,,
一ツ橋 神奈,あまつみそらに！,Clochette,,160,87,59,88,,
観崎 美唯,あまつみそらに！,Clochette,,156,88,58,87,,
清澄 芹夏,あまつみそらに！,Clochette,,157,80,56,83,,
帷 千紗,あまつみそらに！,Clochette,,161,84,60,86,,
葉月 深景,あまつみそらに！,Clochette,,164,95,62,94,,
姫川 風花,カミカゼ☆エクスプローラー！,Clochette,,160,92,58,89,,
祐天寺 美汐,カミカゼ☆エクスプローラー！,Clochette,,159,89,58,87,,
速瀬 まなみ,カミカゼ☆エクスプローラー！,Clochette,,154,87,56,88,,
沖原 琴羽,カミカゼ☆エクスプローラー！,Clochette,,165,96,59,92,,
宇佐美 沙織,カミカゼ☆エクスプローラー！,Clochette,,152,80,55,85,,
